Claim;C0;Our autonomous driver is safe enough to deploy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argument;A0;;We've achieved positive trust balance.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C1;;;Our organization is trustworthy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C2;;;;Our suppliers are trustworthy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argument;A1;;;;We have a track record of a strong safety culture, management, and processes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C4;;;;;We do not deploy the system before demonstrating that it is ""safe enough"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argument;A4;;;;;;Our SMS follows international standards.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C14;;;;;;;We established and implement a safety plan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C44;;;;;;;;Independent assessors review whether safety plan satisfies this claim.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evidence;E1;;;;;;;;;Review of System Safety Program Plan;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C15;;;;;;;We established and implement Safety Risk Managment processes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C45;;;;;;;;Independent assessors review whether Safety Risk Managment satisfies this claim.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evidence;E2;;;;;;;;;Review of System Safety Program Plan;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C16;;;;;;;We established and implement Safety Assessment processes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C46;;;;;;;;Independent assessors review whether Safety Assessment satisfies this claim.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evidence;E3;;;;;;;;;Review of Safety Assessment process;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C17;;;;;;;We established and implement Safety Program Plan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claim;C47;;;;;;;;Independent assessors review whether Safety Program Plan satisfy this claim.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evidence;E4;;;;;;;;;Review of System Safety Program Plan;;;;;;;;;;;;;;;;;;;;;;;;;;;
